item,clase,coord
Q140415027,Q159334,Point(-58.520562591 -34.541885095)
Q140415027,Q423208,Point(-58.520562591 -34.541885095)
Q140415027,Q67388747,Point(-58.520562591 -34.541885095)
Q140415061,Q159334,Point(-58.521130923 -34.542439965)
Q140415061,Q1080794,Point(-58.521130923 -34.542439965)
Q140415061,Q67388747,Point(-58.521130923 -34.542439965)
Q140415660,Q159334,Point(-58.471858283 -34.706699271)
Q140415660,Q423208,Point(-58.471858283 -34.706699271)
Q140415660,Q67388747,Point(-58.471858283 -34.706699271)
Q140417060,Q159334,Point(-58.520976686 -34.531082129)
Q140417060,Q423208,Point(-58.520976686 -34.531082129)
Q140417060,Q67388747,Point(-58.520976686 -34.531082129)
Q140417067,Q159334,Point(-58.525793382 -34.528789748)
Q140417067,Q423208,Point(-58.525793382 -34.528789748)
Q140417067,Q67388747,Point(-58.525793382 -34.528789748)
Q140417068,Q159334,Point(-58.525369096 -34.528735436)
Q140417068,Q423208,Point(-58.525369096 -34.528735436)
Q140417068,Q67388747,Point(-58.525369096 -34.528735436)
Q140417070,Q159334,Point(-58.537010628 -34.533972125)
Q140417070,Q423208,Point(-58.537010628 -34.533972125)
Q140417070,Q67388747,Point(-58.537010628 -34.533972125)
Q140417071,Q159334,Point(-58.522224309 -34.535980265)
Q140417071,Q1080794,Point(-58.522224309 -34.535980265)
Q140417071,Q67388747,Point(-58.522224309 -34.535980265)
Q140417073,Q159334,Point(-58.521626928 -34.520121821)
Q140417073,Q423208,Point(-58.521626928 -34.520121821)
Q140417073,Q67388747,Point(-58.521626928 -34.520121821)
Q140417074,Q159334,Point(-58.532077813 -34.533324822)
Q140417074,Q423208,Point(-58.532077813 -34.533324822)
Q140417074,Q67388747,Point(-58.532077813 -34.533324822)
Q140417707,Q159334,Point(-58.536826365 -34.559027187)
Q140417707,Q1080794,Point(-58.536826365 -34.559027187)
Q140417707,Q67388747,Point(-58.536826365 -34.559027187)
Q140418151,Q159334,Point(-58.509629217 -34.699658305)
Q140418151,Q1080794,Point(-58.509629217 -34.699658305)
Q140418151,Q67388747,Point(-58.509629217 -34.699658305)
Q140418152,Q159334,Point(-58.509628911 -34.698731527)
Q140418152,Q423208,Point(-58.509628911 -34.698731527)
Q140418152,Q67388747,Point(-58.509628911 -34.698731527)
Q140418153,Q159334,Point(-58.503333153 -34.707058033)
Q140418153,Q423208,Point(-58.503333153 -34.707058033)
Q140418153,Q67388747,Point(-58.503333153 -34.707058033)
Q140418156,Q159334,Point(-58.497164985 -34.703697037)
Q140418156,Q1080794,Point(-58.497164985 -34.703697037)
Q140418156,Q67388747,Point(-58.497164985 -34.703697037)
Q140418502,Q159334,Point(-58.528447989 -34.540217805)
Q140418502,Q1080794,Point(-58.528447989 -34.540217805)
Q140416269,Q1080794,Point(-58.531925375 -34.656017422)
Q140416269,Q67388747,Point(-58.531925375 -34.656017422)
Q140416326,Q159334,Point(-58.523011439 -34.665164017)
Q140416326,Q1080794,Point(-58.523011439 -34.665164017)
Q140416326,Q67388747,Point(-58.523011439 -34.665164017)
Q140417892,Q159334,Point(-58.536700389 -34.674586399)
Q140417892,Q423208,Point(-58.536700389 -34.674586399)
Q140417892,Q67388747,Point(-58.536700389 -34.674586399)
Q140281862,Q67388747,Point(-58.531095 -34.662123)
Q140281863,Q9842,Point(-58.52503 -34.665275)
Q140281863,Q423208,Point(-58.52503 -34.665275)
Q140281863,Q67388747,Point(-58.52503 -34.665275)
Q140281866,Q9842,Point(-58.523087 -34.665228)
Q140281866,Q1080794,Point(-58.523087 -34.665228)
Q140281866,Q67388747,Point(-58.523087 -34.665228)
Q140282071,Q9842,Point(-58.527017 -34.6779)
Q140282071,Q1080794,Point(-58.527017 -34.6779)
Q140282071,Q67388747,Point(-58.527017 -34.6779)
Q140282073,Q9842,Point(-58.526897 -34.698994)
Q140282073,Q1080794,Point(-58.526897 -34.698994)
Q140282073,Q67388747,Point(-58.526897 -34.698994)
Q140282075,Q9842,Point(-58.523273 -34.685065)
Q140282075,Q1080794,Point(-58.523273 -34.685065)
Q140282075,Q67388747,Point(-58.523273 -34.685065)
Q140282076,Q9842,Point(-58.536155 -34.678586)
Q140282076,Q1080794,Point(-58.536155 -34.678586)
Q140282076,Q67388747,Point(-58.536155 -34.678586)
Q140282078,Q9842,Point(-58.527177 -34.691885)
Q140282078,Q423208,Point(-58.527177 -34.691885)
Q140282078,Q67388747,Point(-58.527177 -34.691885)
Q140282079,Q9842,Point(-58.535821 -34.689551)
Q140282079,Q1080794,Point(-58.535821 -34.689551)
Q140282079,Q67388747,Point(-58.535821 -34.689551)
Q140282080,Q9842,Point(-58.528114 -34.691295)
