avenida,largo_m,locales,por_100m,desde,hasta,barrio,x0,y0,x1,y1,avenida_l,desde_l,hasta_l,en_atlas
GAONA AV.,2300,69,3.0,"TRELLES, MANUEL R.",SAN NICOLAS,VILLA GRAL. MITRE,5641205.25860272,6169087.8847222775,5639187.97383131,6167990.834112677,Av. Gaona,Manuel R. Trelles,San Nicolás,False
"ALBERDI, JUAN BAUTISTA AV.",1950,69,3.54,LA PLATA AV.,PUAN,CABALLITO,5644186.879131023,6168175.407117851,5642329.942547776,6167830.985004289,Av. Juan Bautista Alberdi,Av. La Plata,Puan,False
ESTADO DE ISRAEL AV.,1000,68,6.8,CORDOBA AV.,CORRIENTES AV.,PALERMO,5644635.180372521,6170868.2860283945,5643821.242061544,6170405.838000919,Av. Estado de Israel,Av. Córdoba,Av. Corrientes,False
DE LOS INCAS AV.,1600,68,4.25,DONADO,DE LOS CONSTITUYENTES AV.,VILLA ORTUZAR,5640288.758592497,6172963.967779162,5639059.276697924,6171944.654266464,Av. De los Incas,Donado,Av. De los Constituyentes,False
"MONTES DE OCA, MANUEL AV.",1550,67,4.32,FINOCHIETTO ENRIQUE DR.,"QUINQUELA MARTIN, BENITO",BARRACAS,5648814.5780061,6167243.195980011,5649110.929581676,6165726.684506032,Av. Manuel Montes de Oca,Finochietto Enrique Dr.,Benito Quinquela Martín,True
ELCANO AV.,900,64,7.11,DE LOS INCAS AV.,ALVAREZ THOMAS AV.,COLEGIALES,5641507.551281515,6173959.68291079,5641300.853284606,6173098.191791123,Av. Elcano,Av. De los Incas,Av. Álvarez Thomas,True
DORREGO AV.,1050,63,6.0,CORRIENTES AV.,"VEGA, NICETO, CNEL. AV.",CHACARITA,5642376.58176042,6171524.741581451,5642725.551353794,6172493.626435902,Av. Dorrego,Av. Corrientes,Av. Cnel. Niceto Vega,True
"MORENO, JOSE MARIA AV.",1250,63,5.04,RIVADAVIA AV.,ZUVIRIA,CABALLITO,5643398.984485735,6168606.444431047,5643648.224821487,6167387.329379588,Av. José María Moreno,Av. Rivadavia,Zuviría,False
"ALBERDI, JUAN BAUTISTA AV.",1550,60,3.87,MURGUIONDO,"PAZ, GRAL. AV.",MATADEROS,5637087.712973461,6164778.708493182,5635854.728034027,6163843.221253461,Av. Juan Bautista Alberdi,Murguiondo,Av. Gral. Paz,False
"CAMPOS, LUIS M. AV.",1600,60,3.75,DORREGO AV.,ZABALA,PALERMO,5643900.0392395845,6173482.20705539,5642891.614506795,6174714.997672751,Av. Luis M. Campos,Av. Dorrego,Zabala,False
