polo_id,locales,ha,locales_x_ha,barrio_principal,barrios,n_barrios,corroborados,grupo_dominante,peso_grupo_dominante,abiertos,hull_degenerado,puntos_en_envolvente,aptos_en_envolvente,share_aptos,control_aptitud,comuna,clase_densidad,pct_ya_publicado,zonas_que_contiene,es_nuevo,anada_relevamiento,anada_pct_dominante,anada_mixta,anadas,pct_puntos_del_relevamiento,rectangularidad,pct_perimetro_en_ejes,pct_perimetro_sobre_borde_barrio,vertices,barrio_k,cobertura_barrio,composicion_barrio,pasa_fuente,pasa_grilla,pasa_cobertura,pasa_cobertura_dos_colas,pruebas_que_pasa,locales_sin_rus,densidad_sin_rus,clase_sin_rus,dist_al_corte,cambio_de_clase
P108,129,18.559,6.951,Monserrat,Monserrat,1,27,OVERTURE_FSQ_ATP,0.38,62,False,129,127,0.984,True,1.0,B · concentración media,27.0,,False,2024,100.0,False,2024:129,37.2,0.624,20.6,0.0,20,MONSERRAT,2.74,302.0,True,True,True,True,3,81,4.364,B · concentración media,0.285,False
P052,124,36.686,3.38,Floresta,Floresta;Flores;Villa Santa Rita,3,18,GCBA_URBANISMO,0.444,44,False,133,132,0.992,True,10.0,C · concentración extendida,0.0,,True,2023,49.2,True,2023:61;2024:56;2022:7,44.4,0.578,18.2,6.0,12,FLORESTA,2.36,103.9,True,True,True,True,3,69,1.881,C · concentración extendida,0.225,False
P051,123,31.7,3.88,Constitucion,Constitucion,1,17,GCBA_URBANISMO,0.382,58,False,125,124,0.992,True,1.0,C · concentración extendida,6.0,,True,2024,100.0,False,2024:123,38.2,0.588,24.0,0.0,17,CONSTITUCION,2.51,196.3,True,True,True,True,3,76,2.397,C · concentración extendida,0.132,False
P104,121,24.854,4.868,Recoleta,Recoleta;Palermo,2,27,OVERTURE_FSQ_ATP,0.413,70,False,153,149,0.974,True,2.0,B · concentración media,0.0,,True,2024,100.0,False,2024:121,34.7,0.649,4.4,6.0,14,RECOLETA,2.75,229.5,True,True,True,True,3,79,3.179,C · concentración extendida,0.053,True
P084,119,27.118,4.388,Balvanera,Balvanera;Almagro,2,26,GCBA_URBANISMO,0.42,51,False,135,133,0.985,True,3.0,C · concentración extendida,0.0,,True,2024,53.8,True,2024:64;2023:55,42.0,0.668,32.9,3.8,15,BALVANERA,2.59,147.9,True,True,True,True,3,69,2.544,C · concentración extendida,0.037,False
P030,117,29.466,3.971,Puerto Madero,Puerto Madero,1,19,OVERTURE_FSQ_ATP,0.453,81,False,105,104,0.99,True,1.0,C · concentración extendida,98.1,,False,2024,100.0,False,2024:117,15.4,0.473,33.3,0.0,15,PUERTO MADERO,7.45,730.8,True,True,True,False,3,99,3.36,C · concentración extendida,0.115,False
P100,116,12.207,9.502,Monserrat,Monserrat;San Nicolas,2,34,GCBA_URBANISMO,0.448,57,False,109,107,0.982,True,1.0,A · concentración densa,95.8,,False,2024,100.0,False,2024:116,44.8,0.586,2.8,12.6,16,MONSERRAT,2.74,302.0,True,True,True,True,3,64,5.243,B · concentración media,0.192,True
P098,115,12.539,9.172,Recoleta,Recoleta,1,25,OVERTURE_FSQ_ATP,0.4,69,False,110,108,0.982,True,2.0,A · concentración densa,92.7,,False,2024,100.0,False,2024:115,35.7,0.436,13.9,0.0,17,RECOLETA,2.75,229.5,True,True,True,True,3,74,5.902,B · concentración media,0.13,True
P110,112,16.304,6.869,Recoleta,Recoleta,1,31,OVERTURE_FSQ_ATP,0.42,70,False,136,135,0.993,True,2.0,B · concentración media,86.2,,False,2024,100.0,False,2024:112,31.2,0.482,0.0,0.0,15,RECOLETA,2.75,229.5,True,True,True,True,3,77,4.723,B · concentración media,0.301,False
P017,108,69.798,1.547,Liniers,Liniers;Mataderos,2,15,GCBA_URBANISMO,0.472,45,False,116,114,0.983,True,9.0,C · concentración extendida,0.0,,True,2023,100.0,False,2023:108,47.2,0.419,25.8,3.4,16,LINIERS,2.64,148.3,True,True,True,True,3,57,0.817,C · concentración extendida,0.568,False
