barrio,cantidad_registros,cantidad_hojas,nivel_sensibilidad,uso_recomendado
San Rafael Mendoza,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Avellaneda,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Parqueo patricios,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Ranelagh,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Es en CITY BELL,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Pelermo soho,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Ituzaingó,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Pacheco,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Rafael calzada,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Neuquén,1,1,bajo (agregado sin PII),cobertura_territorial_interna
La chacarita,1,1,bajo (agregado sin PII),cobertura_territorial_interna
General pacheco,1,1,bajo (agregado sin PII),cobertura_territorial_interna
General Rodríguez,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Congreso,1,1,bajo (agregado sin PII),cobertura_territorial_interna
retiro,1,1,bajo (agregado sin PII),cobertura_territorial_interna
"Rafael Castillo, San Justo, Buenos Aires",1,1,bajo (agregado sin PII),cobertura_territorial_interna
Palermo Soho,1,1,bajo (agregado sin PII),cobertura_territorial_interna
SALTA CAPITAL,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Quilmes Oeste,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Caballito // Belgrano,1,1,bajo (agregado sin PII),cobertura_territorial_interna
villa puerredon,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Bernal,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa pueyrredon,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Saveedra,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa bosch,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Urquiza,1,1,bajo (agregado sin PII),cobertura_territorial_interna
PARQUE PATRICIOS,1,1,bajo (agregado sin PII),cobertura_territorial_interna
No,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa Soldati,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Zárate,1,1,bajo (agregado sin PII),cobertura_territorial_interna
La Plata,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Ambulante,1,1,bajo (agregado sin PII),cobertura_territorial_interna
Villa Luzuriaga,1,1,bajo (agregado sin PII),cobertura_territorial_interna
