polo_a,nombre_a,polo_b,nombre_b,local_id,barrio,comuna
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015919,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024551,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024401,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC004796,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008012,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC001114,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC005853,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC002797,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015927,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC006337,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC010691,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024350,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024323,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015947,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015957,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024512,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015961,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC003548,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024532,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024380,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015955,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024362,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC007484,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC001094,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008968,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC009543,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC004503,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC009196,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015939,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024211,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008060,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC000664,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024379,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024419,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024352,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024414,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024398,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024336,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC007825,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC001631,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC004615,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC007888,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC011057,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024412,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024319,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024428,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015990,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC010879,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC015993,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC001642,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC009949,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008123,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024307,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008923,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024356,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC004767,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024378,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024314,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024312,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC010237,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024366,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024420,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024424,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024367,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016009,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016010,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024364,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024359,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024333,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024357,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024384,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024360,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016004,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024328,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC008952,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC005279,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024329,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024432,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC011152,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC002262,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024425,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024363,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016019,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016017,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016032,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024355,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC016021,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024402,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC001859,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024324,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC024327,San Nicolas,1.0
R02,Avenida Corrientes,R12,Centro y Microcentro,LOC004858,San Nicolas,1.0
