nro_registro,rubro,establecimiento,domicilio_completo,barrio,comuna,accesibilidad
RL-2017-25878446- -DGCCO,Bar Notable,EL BANDERÍN,GUARDIA VIEJA 3601,ALMAGRO,5,
RL-2017-23224312- -DGCCO,Gastronomía,EL CHISTE PIZZERÍA,MORENO 467,MONSERRAT,1,
RL-2017-22417964- -DGCCO,Gastronomía/Bar Notable,EL GATO NEGRO,AV. CORRIENTES 1669,SAN TELMO,1,
RL-2019-15959567--DGTALET,Restaurante/Bar Temático,EL GRAN PARAÍSO,GARIBALDI 1428,LA BOCA,4,
RL-2017-09229387- -DGDYCOF,Restaurante,EL IMPARCIAL,H. YRIGOYEN 1201,MONSERRAT,1,
RPT-095-2005,Gastronomía,EL PALACIO DE LA PAPA FRITA,LAVALLE 735,SAN NICOLÁS,1,
RPT-121-2005,Gastronomía,EL PALACIO DE LA PAPA FRITA,AV. CORRIENTES 1612,SAN NICOLÁS,1,
RPT-47-2005,Tanguería,EL QUERANDÍ,PERÚ 302,MONSERRAT,1,
RPT-137-2007,Gastronomía,EL VESUVIO,AV. CORRIENTES 1181,SAN NICOLÁS,1,
RL-2018-13480630- -DGCCO,Tanguería,EL VIEJO ALMACÉN,Av. Independencia 313,SAN TELMO,1,
RL-2017-07599563- -DGDYCOF,Bar Temático / Restaurante Temático,ERIK BAR,HONDURAS 5098,PALERMO,14,
RPT-027-2005,Tanguería,ESQUINA HOMERO MANZI,AV. SAN JUAN 3601,BOEDO,5,
RL-2018-20131433- -DGCCO,Restaurante,ESTILO CAMPO,ALICIA MOREAU DE JUSTO 1840,PUERTO MADERO,1,
RL-2017-12733983-DGDYCOF,Restaurante,FIFI ALMACÉN,GORRITI 4812,PALERMO,14,
RPT-33-2005,Restaurante,FILO,SAN MARTÍN 975,RETIRO,1,
RL-2017-12737456-DGDYCOF,Bar Temático,FULL CITY COFFEE HOUSE,THAMES 1535,PALERMO,14,
RL-2018-13126887- -DGCCO,Restaurante,FURCHI ARTESANAL HELADOS,CABILDO 1508,COLEGIALES,13,
09-G-2011,Tanguería,GALA TANGO,PASAJE 5 DE JULIO 434,MONSERRAT,1,
