polo_id,calles_dominantes_antes,calles_dominantes_despues,cambio,diff,metodo
P081,Aguirre (10); Raul Scalabrini Ortiz (9); Malabia (6); Juan Ramirez De Velasco (5); Ramirez De Velazco (3); Acevedo (1),Aguirre (10); Raul Scalabrini Ortiz (9); Malabia (6); Juan Ramirez De Velasco (5); Ramirez De Velazco (3); Acevedo (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P018-2,Francisco Beiro (16); Lope De Vega (6); Ramon Lista (3); Virgilio (3); Cortina (1); Rivera Y Martin Ugarte (1),Francisco Beiro (16); Lope De Vega (6); Ramon Lista (3); Virgilio (3); Cortina (1); Rivera Y Martin Ugarte (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P072-7,Echeverria (6); Montaneses (5); Juramento (2); Virrey Vertiz (2); Del Libertador (1),Echeverria (6); Montaneses (5); Juramento (2); Virrey Vertiz (2); Del Libertador (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P002,Lafuente (6); Mariano Acosta (4); Francisco Rabanal (3); Francisco Fernandez De La Cruz (3); Fco Fernandez De La Cruz (3); Pedro I Rivera (2),Lafuente (6); Mariano Acosta (4); Francisco Rabanal (3); Francisco Fernandez De La Cruz (3); Fco Fernandez De La Cruz (3); Pedro I Rivera (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P026,Entre Rios (8); Caseros (7); Perdriel (5); Solis (4); Finochietto Enrique (2); Combate De Los Pozos (2),Entre Rios (8); Caseros (7); Perdriel (5); Solis (4); Finochietto Enrique (2); Combate De Los Pozos (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P079,Estado De Israel (9); Angel Gallardo (8); Corrientes (6); Juan Ramirez De Velasco (4); Ramos Mejia (2); Aguirre (2),Estado De Israel (9); Angel Gallardo (8); Corrientes (6); Juan Ramirez De Velasco (4); Ramos Mejia (2); Aguirre (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P112,Parana (11); Uruguay (9); Viamonte (6); Tucuman (6); Cordoba (2); Paraguay (2),Parana (11); Uruguay (9); Viamonte (6); Tucuman (6); Cordoba (2); Paraguay (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P115,Reconquista (12); Marcelo T De Alvear (7); Paraguay (3); Tres Sargentos (3); San Martin (3); Leandro N Alem (1),Reconquista (12); Marcelo T De Alvear (7); Paraguay (3); Tres Sargentos (3); San Martin (3); Leandro N Alem (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P066,Suarez (11); Montes De Oca (9); Manuel Montes De Oca (2); Uspallata (2); Aristobulo Del Valle (2); Martin Garcia (2),Suarez (11); Montes De Oca (9); Manuel Montes De Oca (2); Uspallata (2); Aristobulo Del Valle (2); Martin Garcia (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P014,Eva Peron (15); Varela (12); Enrique Martinez (1); Martinez Castro (1); Portela (1); San Pedrito (1),Eva Peron (15); Varela (12); Enrique Martinez (1); Martinez Castro (1); Portela (1); San Pedrito (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P114,Corrientes (5); Cerrito (4); Roque Saenz Pena (4); Lavalle (3); Talcahuano (3); Libertad (2),Corrientes (5); Cerrito (4); Roque Saenz Pena (4); Lavalle (3); Talcahuano (3); Libertad (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P072-2,Federico Lacroze (16); Cabildo (6); Amenabar (4); 3 De Febrero (3); Zapata (1); Ciudad De La Paz (1),Federico Lacroze (16); Cabildo (6); Amenabar (4); 3 De Febrero (3); Zapata (1); Ciudad De La Paz (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P018-1,Francisco Beiro (11); Jose Pedro Varela (6); Quevedo (2); Simbron (2); Desaguadero (1); Ramon Lista (1),Francisco Beiro (11); Jose Pedro Varela (6); Quevedo (2); Simbron (2); Desaguadero (1); Ramon Lista (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P044,San Juan (21); Urquiza (3); La Rioja (3); Entre Rios (1); Dean Funes (1); Alberti (1),San Juan (21); Urquiza (3); La Rioja (3); Entre Rios (1); Dean Funes (1); Alberti (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P075,Dorrego (10); Bonpland (9); Corrientes (3); Juan Ramirez De Velasco (3); Aguirre (2); Fraga (2),Dorrego (10); Bonpland (9); Corrientes (3); Juan Ramirez De Velasco (3); Aguirre (2); Fraga (2),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
P042,Rivadavia (20); Segurola (3); Carrasco (2); Dip Nac Osvaldo E Benedetti (1); Olivera (1); Bolanos (1),Rivadavia (20); Segurola (3); Carrasco (2); Dip Nac Osvaldo E Benedetti (1); Olivera (1); Bolanos (1),NO,SIN_CAMBIO,normalizar_calles + callejero_canonico + aliases declarados en el pedido
