bloque,fila_tipo,concentracion_id,concentracion_nombre,polo_id,polo_nombre,borde_polo,atribuible,estado_soporte,fuente_geometria,superficie_concentracion_m2,superficie_soporte_m2,interseccion_m2,pct_concentracion_en_soporte,pct_soporte_cubierto,criterio
PUBLICABLE,INTERSECCION,P079,Villa Crespo · Estado de Israel y Ángel Gallardo°,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,56912.1344,3354577.7039,7199.3542,12.6499,0.2146,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P080,Villa Crespo · Av. Corrientes y Scalabrini Ortiz°,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,35315.1113,3354577.7039,35315.1113,100.0,1.0527,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P081,Villa Crespo · Aguirre y Scalabrini Ortiz°,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,112285.1932,3354577.7039,112285.1932,100.0,3.3472,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P082,Abasto · Humahuaca y Guardia Vieja,R13,Abasto,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R13,424029.2424,1090027.4886,369361.1618,87.1075,33.8855,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P090+P089,Palermo · eje Av. Santa Fe°,R01,Palermo,TRAZADO,SI,REAL_SISTEMA_PUBLICADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",185443.1725,3855092.0341,127015.6935,68.4931,3.2948,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P091,Palermo Soho,R01,Palermo,TRAZADO,SI,REAL_SISTEMA_PUBLICADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",923616.5336,3855092.0341,923616.5336,100.0,23.9584,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P091,Palermo Soho,R08,Villa Crespo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R08,923616.5336,3354577.7039,106371.321,11.5168,3.1709,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P093,Abasto,R13,Abasto,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R13,272664.2498,1090027.4886,232122.8245,85.1314,21.2951,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P095,Recoleta · Av. Las Heras y Av. Callao°,R06,Recoleta,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R06,85414.707,1405170.9038,60178.203,70.4541,4.2826,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P096,La Isla (Recoleta),R06,Recoleta,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R06,38561.9505,1405170.9038,38561.9505,100.0,2.7443,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P097,Recoleta · Av. Pueyrredón y Junín°,R06,Recoleta,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R06,75635.7843,1405170.9038,51264.8223,67.7785,3.6483,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P098,Recoleta,R06,Recoleta,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R06,125385.3833,1405170.9038,116170.9276,92.6511,8.2674,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P100,Avenida de Mayo · tramo Congreso,R12,Centro y Microcentro,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R12,122073.4356,1841166.0714,117001.4224,95.8451,6.3547,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P100,Avenida de Mayo · tramo Congreso,Z47,Monserrat y Congreso,TRAZADO,SI,REAL_R15_CERRADO,ronda_15/geometria/perimetros_18.geojson#Z47,122073.4356,137744.2373,34470.5509,28.2376,25.025,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P102,Bulevar Caseros,R03,San Telmo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R03,39385.5081,253683.1163,5.7851,0.0147,0.0023,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P102,Bulevar Caseros,R11,Boulevard Caseros,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R11,39385.5081,500285.8016,8378.6146,21.2733,1.6748,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P103,San Telmo,R03,San Telmo,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R03,474587.5187,253683.1163,65397.2594,13.7798,25.7791,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P103,San Telmo,R04,Puerto Madero,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R04,474587.5187,3145411.6199,3137.5664,0.6611,0.0998,intersección > 0.01 m²; sin tope de filas
PUBLICABLE,INTERSECCION,P105,Barrio Norte · Agüero y Laprida°,R06,Recoleta,TRAZADO,SI,REAL_PREVIO_NO_INCLUIDO_EN_R15,geometria_r7/zonas_r7.geojson#R06,52802.0592,1405170.9038,11144.8472,21.1068,0.7931,intersección > 0.01 m²; sin tope de filas
