barrio,comuna,categoria_general,subcategoria,cantidad_establecimientos,porcentaje_sobre_total_barrio,estado_datos,fuentes_utilizadas,urls_fuentes,fecha_consulta_min,fecha_consulta_max,nota_metodologica,limitaciones,apto_dashboard
Agronomia,15,Bar,Bar,3,100.0,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Restaurante,Restaurante,44,69.84,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Cafe,Cafe,10,15.87,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Bar,Bar,3,4.76,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Requiere validacion,Requiere validacion,3,4.76,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Parrilla,Parrilla,1,1.59,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Pasteleria,Pasteleria,1,1.59,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Almagro,5,Pizzeria,Pizzeria,1,1.59,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Restaurante,Restaurante,116,54.21,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Cafe,Cafe,53,24.77,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Bar,Bar,30,14.02,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Pasteleria,Pasteleria,7,3.27,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Pizzeria,Pizzeria,5,2.34,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Requiere validacion,Requiere validacion,2,0.93,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Balvanera,3,Comida al paso,Comida al paso,1,0.47,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Barracas,4,Restaurante,Restaurante,22,44.9,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Barracas,4,Requiere validacion,Requiere validacion,10,20.41,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Barracas,4,Bar,Bar,7,14.29,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Barracas,4,Cafe,Cafe,7,14.29,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Barracas,4,Pizzeria,Pizzeria,3,6.12,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Belgrano,13,Restaurante,Restaurante,62,87.32,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Belgrano,13,Bar,Bar,3,4.23,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
Belgrano,13,Requiere validacion,Requiere validacion,3,4.23,datos reales,F01,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,2026-06-10,2026-06-10,"Agrupacion de establecimientos por barrio, comuna y categoria inferida.","Si usa seed, la muestra no representa el universo de establecimientos.",si
