polo_id,nombre_polo,soporte_clase,soporte_detalle,n_puntos,elongacion,ancho_p80_m,largo_p5_p95_m,motivo_na,frac_banda_50m,frac_banda_75m,frac_banda_100m,frac_banda_150m,frac_banda_200m,elongacion_rect,ha,forma_declarada,rama_calibracion,calibracion_contaminada
PGR_P032,P032 · La Boca,polo del borrador,polo P032 de borrador_polos_v3,98,1.6150886080892068,131.5224450224382,475.0907021236619,,0.32653061224489793,0.5816326530612245,0.7040816326530612,0.8775510204081632,0.9897959183673469,1.3044210749160807,20.89,nucleo compacto,B,si
PGR_P024,P024 · Nueva Pompeya,polo del borrador,polo P024 de borrador_polos_v3,95,4.203507787007361,102.08829346019854,1256.5690490884242,,0.5157894736842106,0.6421052631578947,0.7789473684210526,0.9263157894736842,0.9263157894736842,2.9272510132253955,50.42,corredor,B,si
PGR_P005,P005 · Villa Lugano,polo del borrador,polo P005 de borrador_polos_v3,92,1.3050827704261132,353.0314937058186,1324.3229008492467,,0.08695652173913043,0.15217391304347827,0.18478260869565216,0.2717391304347826,0.391304347826087,1.084219777934593,100.94,nucleo compacto,B,si
PGR_P020,P020 · Villa Luro,polo del borrador,polo P020 de borrador_polos_v3,87,5.512251897374263,77.18977243440213,1136.789920744043,,0.4482758620689655,0.7701149425287356,0.896551724137931,0.9770114942528736,1.0,4.136977224265522,25.1,corredor,B,si
PGR_P022,P022 · Saavedra,polo del borrador,polo P022 de borrador_polos_v3,79,2.792368255639175,149.40709864741638,1150.8968366941551,,0.24050632911392406,0.35443037974683544,0.5443037974683544,0.7974683544303798,0.8734177215189873,2.255192172227738,53.59,corredor,B,si
PGR_P003,P003 · Villa Riachuelo,polo del borrador,polo P003 de borrador_polos_v3,83,2.3155488099352315,98.93244477411228,685.5223410423883,,0.27710843373493976,0.5301204819277109,0.8072289156626506,0.8433734939759037,0.9397590361445783,2.301980593284948,39.82,corredor,B,si
PGR_P012,P012 · Mataderos,polo del borrador,polo P012 de borrador_polos_v3,82,5.288517380300254,93.96699141146793,1109.6476580197964,,0.6097560975609756,0.6951219512195121,0.8414634146341463,0.975609756097561,0.9878048780487805,3.434107094342023,32.81,corredor,B,si
PGR_P107,P107 · Balvanera,polo del borrador,polo P107 de borrador_polos_v3,84,1.3521888741712589,126.8165369710247,425.99589615223215,,0.35714285714285715,0.5,0.6547619047619048,0.8809523809523809,0.9642857142857143,1.0739198119623863,10.79,nucleo compacto,B,si
PGR_P092,P092 · Palermo,polo del borrador,polo P092 de borrador_polos_v3,79,1.5625726227188248,125.05764866223734,434.2138213513875,,0.4177215189873418,0.5443037974683544,0.6329113924050633,0.8860759493670886,1.0,1.3337196107965832,11.71,nucleo compacto,B,si
PGR_P088,P088 · Palermo,polo del borrador,polo P088 de borrador_polos_v3,69,1.7203312504404822,92.21685526762465,363.40988598379073,,0.4927536231884058,0.6521739130434783,0.8985507246376812,1.0,1.0,1.4562680562914934,7.79,nucleo compacto,B,si
