fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones
F01,f01_oferta_establecimientos_gastronomicos.csv,2393,,MEETING PLACE,CONFITERIA / TRADICIONAL,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LAVALLE 1661,1,San Nicolas,-34.60301576,-58.39049337,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2394,,MELIAN,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LAVALLE 529,1,San Nicolas,-34.60212352,-58.37419174,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,924,,MISTER PIZZA,PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"VALLE, ARISTOBULO DEL 1499",4,Barracas,-34.63590176,-58.37275762,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,928,,MR. PIZZA,PIZZERIA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,"MONTES DE OCA, MANUEL 1424",4,Barracas,-34.64384338,-58.37347869,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1581,,MUZZARELLA,CONFITERIA / PIZZERIA,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CASEROS AV. 2080,4,Parque Patricios,-34.63450082,-58.39172257,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1333,,OLIMPO,CONFITERIA / MINUTAS,,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,IRIGOYEN 1491,10,Monte Castro,-34.62689961,-58.51830994,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,2652,,OMA PIZZAS,RESTAURANTE / MINUTAS,CLASICO PORTEÑO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,GALLARDO 599,10,Versalles,-34.63173331,-58.52490508,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,1580,,PANCHAZO,CONFITERIA / SANDWICHERIA,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CASEROS AV. 3201,4,Parque Patricios,-34.63759355,-58.4092161,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,952,,PARRILLA PIZZA CAFE,PARRILLA,MODERNO,pizza_empanadas,pizzeria_empanadas,0.2,Fuera del alcance decidido: pizza_empanadas,CASEROS AV. 3849,5,Boedo,-34.6393597,-58.41908029,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,381,,PETIT CAFE,CONFITERIA / MINUTAS,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,UGARTECHE 2810,14,Palermo,-34.58283447,-58.4140221,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,383,,PIACERE,CONFITERIA / TRADICIONAL,CLASICO PORTEÑO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,CABILDO AV. 1101,14,Palermo,-34.56873508,-58.44708876,f01_fuente,,
F01,f01_oferta_establecimientos_gastronomicos.csv,384,,PIACERE,CONFITERIA / SANDWICHERIA,MODERNO,confiteria,confiteria,0.2,Fuera del alcance decidido: confiteria,LAS HERAS GENERAL AV. 2899,14,Palermo,-34.58330663,-58.40190867,f01_fuente,,
