fuente,archivo_origen,id_registro_original,clave_habilitacion,nombre_original,rubro_original,descripcion_original,patron_detectado,categoria_panaderia,confianza_categoria,motivo_categoria,direccion_original,comuna_original,barrio_original,lat,lon,calidad_geo,fecha_habilitacion,observaciones,fuentes_que_lo_detectan,cantidad_fuentes,es_duplicado_probable,grupo_duplicado,confianza_match,requiere_revision_manual,registros_agrupados,comuna_efectiva,barrio_efectivo,nivel_universo
F02,f02_habilitaciones_aprobadas_2015_2018.csv,215912,359712,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"ALSINA, ADOLFO 781",,,-34.610501,-58.377478,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0820,unica,si,1,1,Monserrat,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,152637,359774/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,REPUBLICA BOLIVARIANA DE VENEZUELA 4115,,,-34.61776,-58.422958,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0821,unica,no,1,5,Almagro,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,225461,359833/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,CORRIENTES AV. 5488,,,-34.597401,-58.441595,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0822,unica,si,1,15,Villa Crespo,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,143194,359853/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"FALCON, RAMON L.,CNEL. 2545",,,-34.630636,-58.464226,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0823,unica,si,1,7,Flores,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,206639,359907/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,RIVADAVIA AV. 2471,,,-34.609786,-58.401284,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0824,media,no,2,3,Balvanera,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,441883,359948/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,GUIDO 1890,,,-34.589342,-58.390855,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0825,unica,no,1,2,Recoleta,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,134813,360023/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,YERBAL 2381,,,-34.627492,-58.462843,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0826,unica,no,1,7,Flores,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,218147,360155,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,SOLIS 484,,,-34.614651,-58.390383,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0827,media,no,2,1,Monserrat,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,429769,360245/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,LAS HERAS GENERAL AV. 3315,,,-34.582993,-58.40733,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0828,unica,no,1,14,Palermo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,441200,360246,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,SANTA FE AV. 2429,,,-34.594596,-58.401496,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0829,unica,no,1,2,Recoleta,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,441792,360326/1,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,AYACUCHO 1409,,,-34.592622,-58.394802,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0830,unica,no,1,2,Recoleta,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,170599,360330/2,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"SALGUERO, JERONIMO 572",,,-34.603821,-58.419579,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0831,unica,no,1,5,Almagro,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,149947,360498/118,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,SAN PEDRITO AV. 30,,,-34.63102,-58.469384,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0832,media,no,3,7,Flores,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,157274,360814/3,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,VALLE 600,,,-34.624557,-58.436208,cache_usig_exacta,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0833,media,no,2,6,Caballito,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,300831,360819,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,GANDARA 3219,,,-34.585447,-58.484535,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0834,media,no,2,15,Parque Chas,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,313732,360827,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,THAMES 32,,,-34.599514,-58.448576,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0835,unica,si,1,15,Villa Crespo,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,433893,360853,,Elaboración de productos de panadería n.c.p.,,elaboracion_panaderia_ncp,elaboracion_ncp,0.9,Rubro de nucleo: elaboracion_panaderia_ncp,COSTA RICA 4782,,,-34.587583,-58.427985,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0836,media,no,2,14,Palermo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,150716,360930,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,BELGRANO AV. 3799,,,-34.615754,-58.419906,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0837,unica,si,1,5,Almagro,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,1922,361047,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,SEGUROLA AV. 207,,,-34.631957,-58.48479,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0838,unica,no,1,10,Floresta,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,176973,361073/35,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,GAONA AV. 1132,,,-34.607846,-58.445604,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0839,unica,si,1,6,Caballito,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,425677,361099,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,"ALVAREZ, JULIAN 1674",,,-34.607851,-58.462543,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0840,unica,si,1,11,Villa Gral. Mitre,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,427782,361154/1,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,GURRUCHAGA 2382,,,-34.583504,-58.42152,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0841,unica,si,1,14,Palermo,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,78609,361241,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6381",,,-34.686617,-58.474445,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0842,unica,no,1,8,Villa Riachuelo,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,97900,361314,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,"PERON, EVA AV. 5887",,,-34.663217,-58.488755,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0843,unica,no,1,9,Mataderos,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,201777,361465,,Elaboración de productos de panadería n.c.p.,,elaboracion_panaderia_ncp,elaboracion_ncp,0.9,Rubro de nucleo: elaboracion_panaderia_ncp,SAAVEDRA 52,,,-34.610597,-58.403257,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0844,media,no,3,3,Balvanera,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,36418,361496,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,MONTIEL 2463,,,-34.664205,-58.509386,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0845,media,no,2,9,Mataderos,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,155360,361543/5,,Fabricación de masas y demás productos de pastelería y sandwiches. Cocción de productos de panadería cuando se reciba la masa ya elaborada.,,coccion_masa_ya_elaborada,punto_de_coccion,0.7,Punto de coccion / masas y pasteleria: vende productos de panaderia pero no elabora la masa,DOBLAS 514,,,-34.622735,-58.430657,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0846,unica,si,1,6,Caballito,B
F02,f02_habilitaciones_aprobadas_2015_2018.csv,451135,361598/4,,Elaboración de productos de panadería con venta directa al público.,,elaboracion_panaderia_venta_directa,elaboracion_con_venta_directa,0.9,Rubro de nucleo: elaboracion_panaderia_venta_directa,SANTA FE AV. 1185,,,-34.59549,-58.38409,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,si,G0847,media,no,2,1,Retiro,A
F02,f02_habilitaciones_aprobadas_2015_2018.csv,284444,361620,,COM.MIN.DESPACHO DE PAN Y PRODUCTOS AFINES,,despacho_de_pan,despacho_de_pan,0.9,Rubro de nucleo: despacho_de_pan,ALVAREZ JONTE AV. 5372,,,-34.624835,-58.512217,cache_usig_exacta_sin_control_comuna,2018,esquema=legacy; archivo=2015_2018; sin nombre: titulares no se leen (dato personal),F02,1,no,G0848,unica,no,1,10,Villa Luro,A
