bar,nombres_vistos,direcciones_vistas,en_GCBA_84,en_WIKIDATA_95,en_BOLETIN_90,n_listas,emparejado_por
CAFE DE LA ESQUINA,CAFE DE LA ESQUINA | Café de la Esquina,"Av. Del Libertador 6196 | DEL LIBERTADOR AV. 6169, CABA",si,si,no,2,nombre+calle
CAFE LOS ANDES,CAFE LOS ANDES | Café Los Andes,"SCALABRINI ORTIZ, RAUL AV. 1312, CABA | Scalabrini Ortiz 1312",si,si,no,2,domicilio
Cafe Olimpo,Cafe Olimpo | Café Olimpo,Irigoyen 1491,no,si,si,2,domicilio
Cafe Palacio,CAFE PALACIO | Cafe Palacio,"Av. Federico Lacroze 3901 | LACROZE, FEDERICO AV. 3901, CABA",si,no,si,2,domicilio
Cafe Plaza,Cafe Plaza | Plaza Café,Av. Rivadavia 4732,no,si,si,2,domicilio
Café Monserrat,CAFE MONTSERRAT | Café Monserrat,"SAN JOSE 524, CABA | San Jose 524",si,si,no,2,domicilio
Café Nostalgia,CAFE NOSTALGIA | Café Nostalgia,"SOLER 3599, CABA | Soler 3599",si,si,no,2,domicilio
Clasica y Moderna,Clasica y Moderna | Clásica y moderna,Av. Callao 892,no,si,si,2,domicilio
IBERIA,Bar iberia | IBERIA,"Av. De Mayo 1196 | DE MAYO AV. 1196, CABA",si,si,no,2,domicilio
La Embajada,LA EMBAJADA | La Embajada,"SANTIAGO DEL ESTERO 88, CABA | Santiago del Estero 88",si,si,no,2,domicilio
La Nueva Andaluza,LA NUEVA ANDALUZA | La Nueva Andaluza,"CAMARONES 1412, CABA | Camarones 1412",si,si,no,2,domicilio
Mar Azul,Mar Azul,Tucuman 1700 | Tucumán 1700,no,si,si,2,domicilio
American Bar,American Bar,Diagonal Norte 632,no,si,no,1,unico
BAR LAVALLE,BAR LAVALLE,"LAVALLE 2407, CABA",si,no,no,1,unico
BIDOU DE LAS LUCES,BIDOU DE LAS LUCES,"PERU 269, CABA",si,no,no,1,unico
Bar Bidou,Bar Bidou,Diagonal Norte 858,no,si,no,1,unico
Bar Bidou,Bar Bidou,Av. Roque Saenz Pena 858,no,no,si,1,unico
Bar Boca a Boca,Bar Boca a Boca,Av. Benito Perez Galdos 201,no,no,si,1,unico
Bar Carlitos,Bar Carlitos,Carlos Calvo 2607,no,si,no,1,unico
Bar Conde,Bar Conde,Federico Lacroze 3193,no,no,si,1,unico
Bar Via 71,Bar Via 71,Viamonte 1771,no,no,si,1,unico
CAFE VICTORIA,CAFE VICTORIA,"ENTRE RIOS AV. 114, CABA",si,no,no,1,unico
CONFITERIA DEL HOTEL CASTELAR,CONFITERIA DEL HOTEL CASTELAR,"DE MAYO AV. 1048, CABA",si,no,no,1,unico
Cabildo de Buenos Aires,Cabildo de Buenos Aires,Peru 86,no,no,si,1,unico
Cafe Cortazar,Cafe Cortazar,Jose Antonio Cabrera 3797,no,no,si,1,unico
Cafe Rivas,Cafe Rivas,Estados Unidos 302,no,no,si,1,unico
Café Palacio,Café Palacio,Av. F. Lacroze 3901,no,si,no,1,unico
Café Retiro,Café Retiro,,no,si,no,1,unico
Café de los Incas,Café de los Incas,Av. De los Incas 3909,no,si,no,1,unico
Confiteria El Greco,Confiteria El Greco,Av. Rivadavia 5353,no,no,si,1,unico
Confitería Queen Bess,Confitería Queen Bess,Av. Santa Fe 868,no,si,no,1,unico
Confitería Richmond,Confitería Richmond,,no,si,no,1,unico
Confitería del Hotel Castelar,Confitería del Hotel Castelar,Av. de Mayo 1148/50/52,no,si,no,1,unico
EL PREFERIDO DE PALERMO,EL PREFERIDO DE PALERMO,"BORGES, JORGE LUIS 2108, CABA",si,no,no,1,unico
El Portuario,El Portuario,Pinzon 102,no,no,si,1,unico
El Preferido de Palermo,El Preferido de Palermo,Jorge L. Borges 2108,no,si,no,1,unico
Josephina's Cafe,Josephina's Cafe,Guido 1532,no,no,si,1,unico
La Escuela,La Escuela,Manuela Pedraza 2803,no,no,si,1,unico
La Opera,La Opera,Av. Corrientes 1799,no,no,si,1,unico
La Orquidea,La Orquidea,Av. Corrientes 4101,no,no,si,1,unico
OLIMPO,OLIMPO,"ARREGUI 5794, CABA",si,no,no,1,unico
Victoria,Victoria,Bolívar 104,no,si,no,1,unico
