polo_A,nombre_A,polo_B,nombre_B,soporte_es_real_A,soporte_es_real_B,estado_soporte_A,estado_soporte_B,fuente_geometria_A,fuente_geometria_B,superficie_A_m2,superficie_B_m2,interseccion_m2,superficie_perdida_A_m2,superficie_perdida_B_m2,pct_superficie_A_en_B,pct_superficie_B_en_A,locales_compartidos,locales_A,locales_B,pct_locales_A_compartidos,pct_locales_B_compartidos,relacion_observada,direccion_contencion_observada,clase,gate_recomendacion
R01,Palermo,Z31,Villa Luro,True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z31,3855092.0341,137000.0722,0.0,3855092.0341,137000.0722,0.0,0.0,0,1916,41,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z32,Liniers · Mercado Andino,True,True,REAL_SISTEMA_PUBLICADO,REAL_R15_CERRADO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",ronda_15/geometria/perimetros_18.geojson#Z32,3855092.0341,69983.3644,0.0,3855092.0341,69983.3644,0.0,0.0,0,1916,63,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z33,Mataderos,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_NO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z33,3855092.0341,7401138.1314,0.0,3855092.0341,7401138.1314,0.0,0.0,0,1916,375,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z35,Balvanera · Once,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_NO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z35,3855092.0341,4344292.8134,0.0,3855092.0341,4344292.8134,0.0,0.0,0,1916,1253,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z37,Almagro,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_PARCIAL,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z37,3855092.0341,4052581.4325,0.0,3855092.0341,4052581.4325,0.0,0.0,0,1916,868,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z39,Parque Avellaneda,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_NO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z39,3855092.0341,4734677.9636,0.0,3855092.0341,4734677.9636,0.0,0.0,0,1916,173,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z39b,Baek-ku · Barrio Coreano,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z39b,3855092.0341,348613.4114,0.0,3855092.0341,348613.4114,0.0,0.0,0,1916,38,0.0,0.0,DISJUNTA,NINGUNA,DISJUNTA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
R01,Palermo,Z40,Nueva Pompeya y Parque Patricios,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_NO,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z40,3855092.0341,8700695.4444,0.0,3855092.0341,8700695.4444,0.0,0.0,0,1916,546,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z41,Nunez,True,False,REAL_SISTEMA_PUBLICADO,PROVISORIO_R15_PARCIAL,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z41,3855092.0341,4498573.1913,0.0,3855092.0341,4498573.1913,0.0,0.0,0,1916,494,0.0,0.0,DISJUNTA,NINGUNA,PENDIENTE DE PERÍMETRO,BLOQUEADO: PENDIENTE DE PERÍMETRO
R01,Palermo,Z43,Colegiales,True,True,REAL_SISTEMA_PUBLICADO,REAL_PREVIO_NO_INCLUIDO_EN_R15,"geometria_r7/zonas_r7.geojson#R01 + borrador_polos/polos_publicables.geojson#P091,P078,P065",geometria_r7/zonas_r7.geojson#Z43,3855092.0341,2290766.469,78472.9308,3776619.1033,2212293.5382,2.0356,3.4256,8,1916,441,0.4175,1.8141,SOLAPADA,NINGUNA,SOLAPADA,HABILITADO_PARA_LECTURA; ESTA_TABLA_NO_DECIDE
