lote,partida_matriz,smp,direccion,barrio,registros_en_esa_direccion
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 60",Liniers,65
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 62",Liniers,65
L05,94035,72-40B-4F,"SUAREZ, JOSE LEON 64",Liniers,65
L06,378417,29-104-1J,DEL LIBERTADOR AV. 8520,Nuñez,90
L06,378417,29-104-1J,DEL LIBERTADOR AV. 8540,Nuñez,90
L06,378417,29-104-1J,DEL LIBERTADOR AV. 8560,Nuñez,90
L06,378417,29-104-1J,DEL LIBERTADOR AV. 8580,Nuñez,90
L07,369649,51-41-3F,BUCARELLI 2179,Villa Urquiza,144
L07,369649,51-41-3F,BUCARELLI 2181,Villa Urquiza,144
L08,255074,69-6-7,CUENCA 2679,Villa Del Parque,140
L08,255074,69-6-7,CUENCA 2685,Villa Del Parque,140
L09,378417,29-104-1J,DEHEZA 1631,Nuñez,90
L09,378417,29-104-1J,DEHEZA 1651,Nuñez,90
L09,378417,29-104-1J,DEHEZA 1671,Nuñez,90
L10,94035,72-40B-4F,MONTIEL 23,Liniers,65
L10,94035,72-40B-4F,MONTIEL 25,Liniers,65
L10,94035,72-40B-4F,MONTIEL 27,Liniers,65
L10,94035,72-40B-4F,MONTIEL 29,Liniers,65
L11,448542,15-14C-1G,"DIAZ, CNEL. AV. 1944",Palermo,86
L11,448542,15-14C-1G,"DIAZ, CNEL. AV. 1962",Palermo,86
L11,448542,15-14C-1G,"DIAZ, CNEL. AV. 1998",Palermo,86
L12,448542,15-14C-1G,ARENALES 3360,Palermo,86
L12,448542,15-14C-1G,ARENALES 3370,Palermo,86
L12,448542,15-14C-1G,ARENALES 3390,Palermo,86
L13,263878,81-163-1,NOGOYA 3202,Villa Del Parque,100
L13,263878,81-163-1,NOGOYA 3206,Villa Del Parque,100
L14,378482,27-47A-11,3 DE FEBRERO 2770,Belgrano,96
L14,378482,27-47A-11,3 DE FEBRERO 2772,Belgrano,96
L15,403261,35-73-1,SOLER 5608,Palermo,63
L15,403261,35-73-1,SOLER 5610,Palermo,63
L15,403261,35-73-1,SOLER 5612,Palermo,63
L16,448542,15-14C-1G,SANTA FE AV. 3251,Palermo,86
L16,448542,15-14C-1G,SANTA FE AV. 3253,Palermo,86
L17,448274,11-40-1,AZCUENAGA 2085,Recoleta,28
L17,448274,11-40-1,AZCUENAGA 2087,Recoleta,28
L17,448274,11-40-1,AZCUENAGA 2091,Recoleta,28
L17,448274,11-40-1,AZCUENAGA 2093,Recoleta,28
L17,448274,11-40-1,AZCUENAGA 2095,Recoleta,28
L17,448274,11-40-1,AZCUENAGA 2097,Recoleta,28
L18,448542,15-14C-1G,ARENALES 3367,Palermo,82
L18,448542,15-14C-1G,ARENALES 3395,Palermo,82
L19,88105,77-16-1A,"CORRO, MIGUEL C. DEL, CANONIGO AV. 356",Villa Luro,80
L19,88105,77-16-1A,"CORRO, MIGUEL C. DEL, CANONIGO AV. 358",Villa Luro,80
L20,430315,21-79-5,REPUBLICA ARABE SIRIA 3328,Palermo,77
L20,430315,21-79-5,REPUBLICA ARABE SIRIA 3330,Palermo,77
L21,451321,7-46-8A,TALCAHUANO 1063,Retiro,72
L21,451321,7-46-8A,TALCAHUANO 1065,Retiro,72
L22,428851,19-54-12,GODOY CRUZ 1853,Palermo,70
L22,428851,19-54-12,GODOY CRUZ 1855,Palermo,70
L23,338516,27-31-16,"PEDRAZA, MANUELA 2177",Nuñez,66
L23,338516,27-31-16,"PEDRAZA, MANUELA 2179",Nuñez,66
L24,425492,19-28-1,HONDURAS 4308,Palermo,64
L24,425492,19-28-1,HONDURAS 4318,Palermo,64
L25,218460,12-2-13,ENTRE RIOS AV. 648,Monserrat,64
L25,218460,12-2-13,ENTRE RIOS AV. 650,Monserrat,64
L26,426750,19-49-28,HONDURAS 4731,Palermo,64
L26,426750,19-49-28,HONDURAS 4733,Palermo,64
L27,429067,19-176-1,SANTA FE AV. 4502,Palermo,64
L27,429067,19-176-1,SANTA FE AV. 4504,Palermo,64
L28,257819,71-12-9,SAN MARTIN AV. 5883,Agronomia,42
L28,257819,71-12-9,SAN MARTIN AV. 5885,Agronomia,42
L28,257819,71-12-9,SAN MARTIN AV. 5887,Agronomia,42
L29,801076,3-16Z-PLT1,POSADAS 1030,Retiro,60
L29,801076,3-16Z-PLT1,POSADAS 1032,Retiro,60
L30,338783,27-77-13,NUÑEZ 1648,Nuñez,55
L30,338783,27-77-13,NUÑEZ 1650,Nuñez,55
L31,88595,80-126-29,LARRAZABAL 3541,Villa Lugano,54
L31,88595,80-126-29,LARRAZABAL 3543,Villa Lugano,54
L32,50143,44-13D-19,ASAMBLEA AV. 2295,Flores,50
L32,50143,44-13D-19,ASAMBLEA AV. 2299,Flores,50
L33,440078,11-76-1,CALLAO AV. 1090,Recoleta,48
L33,440078,11-76-1,CALLAO AV. 1096,Recoleta,48
L34,279450,87-59A-15,ALVAREZ JONTE AV. 4871,Monte Castro,39
L34,279450,87-59A-15,ALVAREZ JONTE AV. 4873,Monte Castro,39
L35,402423,35-57-1C,"JUSTO, JUAN B. AV. 1241",Palermo,33
L35,402423,35-57-1C,"JUSTO, JUAN B. AV. 1243",Palermo,33
L36,69484,82-39-19,GUAMINI 4936,Villa Riachuelo,32
L36,69484,82-39-19,GUAMINI 4938,Villa Riachuelo,32
L37,220932,1-14-17,LAVALLE 795,San Nicolas,30
L37,220932,1-14-17,LAVALLE 799,San Nicolas,30
L38,421584,31-40-34,"SCALABRINI ORTIZ, RAUL AV. 622",Villa Crespo,30
L38,421584,31-40-34,"SCALABRINI ORTIZ, RAUL AV. 626",Villa Crespo,30
L39,448274,11-40-1,JUNIN 1960,Recoleta,28
L39,448274,11-40-1,JUNIN 1962,Recoleta,28
L40,414816,37-149-35A,"LACROZE, FEDERICO AV. 2425",Colegiales,24
L40,414816,37-149-35A,"LACROZE, FEDERICO AV. 2431",Colegiales,24
L41,104419,32-32-12,BOEDO AV. 1834,Boedo,24
L41,104419,32-32-12,BOEDO AV. 1838,Boedo,24
L42,422734,31-79-16,GURRUCHAGA 1140,Villa Crespo,24
L42,422734,31-79-16,GURRUCHAGA 1142,Villa Crespo,24
L43,159568,40-7B-16,DEL COMERCIO 1284,Parque Chacabuco,24
L43,159568,40-7B-16,DEL COMERCIO 1286,Parque Chacabuco,24
L44,66389,80-111-20,MURGUIONDO 4076,Villa Lugano,24
L44,66389,80-111-20,MURGUIONDO 4078,Villa Lugano,24
L45,422220,31-18-2,GURRUCHAGA 689,Villa Crespo,21
L45,422220,31-18-2,GURRUCHAGA 691,Villa Crespo,21
