id_ubicacion,direccion,calle,altura,cuadra,barrio,habilitaciones,firma,pct_sin_fecha,partidas_matriz,direcciones_con_esa_partida,razones_sociales,anios_fuente
U28660,SANTA FE AV. 4502,SANTA FE AV.,4502,4500,Palermo,64,"64|Comida al paso:32,Panaderia:32",100.0,1.0,2.0,1.0,2025
U5D94F,SANTA FE AV. 4504,SANTA FE AV.,4504,4500,Palermo,64,"64|Comida al paso:32,Panaderia:32",100.0,1.0,2.0,1.0,2025
U0318A,"MITRE, EMILIO 381","MITRE, EMILIO",381,300,Caballito,44,"44|Comida al paso:22,Restaurante:22",100.0,1.0,1.0,1.0,2025
UD79ED,MORENO 825,MORENO,825,800,Monserrat,32,"32|Cafe:8,Catering:8,Comida al paso:8,Heladeria:8",100.0,1.0,1.0,1.0,2025
UF5298,JUNIN 1960,JUNIN,1960,1900,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
U13BF6,JUNIN 1962,JUNIN,1962,1900,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
U0FDFA,AZCUENAGA 2085,AZCUENAGA,2085,2000,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
UB53A9,AZCUENAGA 2087,AZCUENAGA,2087,2000,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
U556B4,AZCUENAGA 2091,AZCUENAGA,2091,2000,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
UD698E,AZCUENAGA 2093,AZCUENAGA,2093,2000,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
U61679,AZCUENAGA 2095,AZCUENAGA,2095,2000,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
U81E2A,AZCUENAGA 2097,AZCUENAGA,2097,2000,Recoleta,28,"28|Cafe:7,Catering:7,Comida al paso:7,Heladeria:7",100.0,1.0,9.0,3.0,2025
U1AA33,CALLAO AV. 1081,CALLAO AV.,1081,1000,Recoleta,153,"153|Bar:9,Cafe:36,Catering:36,Comida al paso:36,Heladeria:36",100.0,1.0,1.0,1.0,2025
U1E27A,CALLAO AV. 1027,CALLAO AV.,1027,1000,Recoleta,21,"21|Bar:7,Cafe:7,Catering:7",100.0,1.0,1.0,1.0,2025
UA7FF7,MONTEVIDEO 1250,MONTEVIDEO,1250,1200,Recoleta,30,"30|Bar:6,Cafe:6,Catering:6,Comida al paso:6,Heladeria:6",100.0,1.0,1.0,1.0,2025
U35CFF,LA PAMPA 1395,LA PAMPA,1395,1300,Belgrano,42,"42|Cafe:21,Catering:21",100.0,1.0,1.0,1.0,2025
U24DCD,CORDOBA AV. 1501,CORDOBA AV.,1501,1500,Recoleta,70,"70|Bar:20,Cafe:10,Catering:10,Heladeria:10,Pasteleria:10,Restaurante:10",100.0,1.0,2.0,1.0,2025
UC8276,PARANA 814,PARANA,814,800,Recoleta,70,"70|Bar:20,Cafe:10,Catering:10,Heladeria:10,Pasteleria:10,Restaurante:10",100.0,1.0,2.0,1.0,2025
UF2660,"ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. 761","ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.",761,700,Monserrat,48,"48|Bar:16,Cafe:16,Comida al paso:16",100.0,,,,2025
U72051,ELCANO AV. 3096,ELCANO AV.,3096,3000,Colegiales,24,24|Heladeria:24,100.0,1.0,1.0,1.0,2025
UBF98D,HONDURAS 5248,HONDURAS,5248,5200,Palermo,30,"30|Bar:6,Cafe:6,Catering:6,Pizzeria:6,Restaurante:6",100.0,1.0,1.0,1.0,2025
UDADD5,"JUSTO, JUAN B. AV. 9202","JUSTO, JUAN B. AV.",9202,9200,Liniers,35,"35|Cafe:7,Catering:7,Comida al paso:14,Panaderia:7",100.0,1.0,2.0,1.0,2025
UCA3E8,ALVAREZ JONTE AV. 6407,ALVAREZ JONTE AV.,6407,6400,Liniers,35,"35|Cafe:7,Catering:7,Comida al paso:14,Panaderia:7",100.0,1.0,2.0,1.0,2025
U1B10B,SAN MARTIN AV. 5883,SAN MARTIN AV.,5883,5800,Agronomia,42,"42|Bar:14,Cafe:14,Restaurante:14",100.0,1.0,3.0,1.0,2025
UB07CD,SAN MARTIN AV. 5885,SAN MARTIN AV.,5885,5800,Agronomia,42,"42|Bar:14,Cafe:14,Restaurante:14",100.0,1.0,3.0,1.0,2025
U6E329,SAN MARTIN AV. 5887,SAN MARTIN AV.,5887,5800,Agronomia,42,"42|Bar:14,Cafe:14,Restaurante:14",100.0,1.0,3.0,1.0,2025
UD1290,COSTA RICA 4502,COSTA RICA,4502,4500,Palermo,36,"36|Bar:12,Cafe:12,Restaurante:12",100.0,1.0,1.0,1.0,2025
UEB76E,"MITRE, BARTOLOME 1767","MITRE, BARTOLOME",1767,1700,San Nicolas,28,"28|Bar:7,Cafe:7,Catering:7,Restaurante:7",100.0,1.0,1.0,1.0,2025
U5744D,"GARCIA, MARTIN AV. 900","GARCIA, MARTIN AV.",900,900,Barracas,96,"96|Cafe:12,Catering:12,Comida al paso:12,Heladeria:12,Parrilla:12,Pasteleria:12,Pizzeria:12,Restaurante:12",100.0,1.0,2.0,1.0,2025
UD3D9A,"MONTES DE OCA, MANUEL AV. 510","MONTES DE OCA, MANUEL AV.",510,500,Barracas,96,"96|Cafe:12,Catering:12,Comida al paso:12,Heladeria:12,Parrilla:12,Pasteleria:12,Pizzeria:12,Restaurante:12",100.0,,,,2025
U04EF6,DEL LIBERTADOR AV. 8520,DEL LIBERTADOR AV.,8520,8500,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
UCBFDE,DEL LIBERTADOR AV. 8540,DEL LIBERTADOR AV.,8540,8500,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
UC50EC,DEL LIBERTADOR AV. 8560,DEL LIBERTADOR AV.,8560,8500,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
U02956,DEL LIBERTADOR AV. 8580,DEL LIBERTADOR AV.,8580,8500,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,2.0,2025
UD3FF2,PICO 1612,PICO,1612,1600,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
UC48B9,DEHEZA 1631,DEHEZA,1631,1600,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
U68095,DEHEZA 1651,DEHEZA,1651,1600,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
U662AE,DEHEZA 1671,DEHEZA,1671,1600,Nuñez,90,"90|Bar:10,Catering:20,Comida al paso:20,Pasteleria:20,Restaurante:20",100.0,1.0,8.0,1.0,2025
