partida_matriz,habilitaciones_distintas,domicilio
430693,3,GODOY CRUZ 2809
219171,3,ENTRE RIOS AV. 540
417481,3,FITZ ROY 2317
291645,3,"BEIRO, FRANCISCO AV. 5499"
133700,3,GAONA AV. 2682
441075,3,PUEYRREDON AV. 1081
150280,3,MEXICO 3602
215598,3,PERU 640
89056,3,DIRECTORIO AV. 5142
159080,3,DIRECTORIO AV. 1017
417255,3,"LACROZE, FEDERICO AV. 3044"
334827,3,DEHEZA 3171
313084,3,"CARRIL, SALVADOR MARIA DEL AV. 2110"
161895,3,ROSARIO 814
190798,3,SARMIENTO 3132
86150,3,MURGUIONDO 4116
17626,3,"CASTRO, EMILIO AV. 6873"
139310,3,"GOYENA, PEDRO AV. 1542"
101596,3,CASEROS AV. 2018
450711,3,SANTA FE AV. 927
441295,3,PARAGUAY 2600
215019,3,PASEO COLON AV. 464
307265,3,SEGUROLA AV. 818
336155,3,OLAZABAL 2341
279775,3,"BEIRO, FRANCISCO AV. 4750"
227909,3,ACOYTE 1293
146870,3,CARABOBO AV. 411
373430,3,TRIUNVIRATO AV. 4374
458120,3,ESTADO PLURINACIONAL DE BOLIVIA 439
402214,3,"LACROZE, FEDERICO AV. 3650"
373790,3,MOLDES 2117
377180,3,MONROE 4547
201515,3,MATHEU 313
170570,3,MEDRANO AV. 509
33555,3,"ALBERDI, JUAN BAUTISTA AV. 6454"
326101,3,OLAZABAL AV. 3664
352183,3,ROOSEVELT FRANKLIN D. AV. 5415
295991,3,TRES ARROYOS 2805
207129,3,PASO 729
444349,3,"DIAZ, CNEL. AV. 1489"
221203,2,VIAMONTE 899
448100,2,SANTA FE AV. 2685
71685,2,"GARCIA GRANDE DE ZEQUEIRA, SEVERO 6703"
346794,2,CONGRESO AV. 5178
433893,2,COSTA RICA 4782
233956,2,"ALVAREZ, DONATO, Tte. Gral. 1691"
158580,2,BARCO CENTENERA del 1246
326602,2,MOLDES 2355
433200,2,PARAGUAY 4012
110016,2,DEFENSA 1444
424123,2,SOLER 4000
134591,2,CARACAS 513
232659,2,SAN MARTIN AV. 2343
228781,2,"GALLARDO, ANGEL AV. 1091"
195503,2,24 DE NOVIEMBRE 108
220958,2,MAIPU 608
154016,2,"MARMOL, JOSE 851"
183543,2,LA RIOJA 1005
350828,2,BAUNESS 2095
374870,2,OLAZABAL 3272
376796,2,DEL LIBERTADOR AV. 6073
453213,2,CALLAO AV. 2081
173578,2,"GALLARDO, ANGEL AV. 48"
72692,2,RIVADAVIA AV. 9383
20584,2,MONTIEL 85
178569,2,RIO DE JANEIRO 106
147031,2,YERBAL 2901
140538,2,PRIMERA JUNTA 1982
311069,2,LAVALLEJA 165
440196,2,SANTA FE AV. 1931
254752,2,ARGERICH 2728
351200,2,MENDOZA AV. 5305
201777,2,SAAVEDRA 52
183535,2,LA RIOJA 889
327628,2,ROOSEVELT FRANKLIN D. 2531
174168,2,OTAMENDI 23
135544,2,RIVADAVIA AV. 7083
68270,2,GUAMINI 4861
269636,2,"BEIRO, FRANCISCO AV. 3491"
171756,2,"PERON, JUAN DOMINGO, TTE. GENERAL 4139"
175195,2,ACOYTE AV. 95
193856,2,24 DE NOVIEMBRE 62
143245,2,"ALBERDI, JUAN BAUTISTA AV. 2590"
150272,2,BOEDO AV. 575
44821,2,BARCO CENTENERA del 2966
172160,2,POTOSI 4250
32272,2,LARRAYA 2227
151098,2,COLOMBRES 985
21358,2,"PAZ, GRAL. AV. 10628"
355770,2,"LARRALDE, CRISOLOGO AV. 5704"
170729,2,MEDRANO AV. 889
450655,2,"ALVEAR, MARCELO T. De 1000"
156349,2,"GOYENA, PEDRO AV. 389"
212927,2,SAN JOSE 1051
432537,2,HONDURAS AV. 4109
142128,2,RIVERA INDARTE AV. 86
255312,2,SAN MARTIN AV. 4935
414816,2,"LACROZE, FEDERICO AV. 2421"
442653,2,"LOPEZ, VICENTE 2238"
83809,2,DIRECTORIO AV. 5787
308398,2,RESERVISTAS ARGENTINOS AV. 309
221862,2,TALCAHUANO 367
294171,2,NOGOYA 6061
291300,2,LOPE DE VEGA AV. 3345
172933,2,RIVADAVIA AV. 4533
104419,2,BOEDO AV. 1834
90319,2,"PERON, EVA AV. 4813"
121086,2,"BROWN, ALTE. AV. 947"
227358,2,"DUMONT, SANTOS 4527"
173894,2,RIO DE JANEIRO 582
293850,2,"JUSTO, JUAN B. AV. 9481"
21349,2,RIVADAVIA AV. 11640
342505,2,MONROE 881
427795,2,GUEMES 4391
59775,2,MIRALLA 3005
424802,2,MEDRANO 1294
222735,2,MONTEVIDEO 140
222578,2,PARANA 588
377568,2,VIDAL 2202
255127,2,SAN MARTIN AV. 4527
132899,2,NEUQUEN 1828
301631,2,MELINCUE 3101
205460,2,RIVADAVIA AV. 2027
453242,2,MONTEVIDEO 874
288147,2,LOPE DE VEGA AV. 2614
220106,2,"ALEM, LEANDRO N. AV. 744"
2675,2,RIVADAVIA AV. 8775
312395,2,"BEIRO, FRANCISCO AV. 4695"
254922,2,CUENCA 2337
308258,2,TINOGASTA 3734
148317,2,"ARTIGAS, JOSE GERVASIO, GRAL. 1098"
237563,2,FOREST AV. 928
146204,2,PORTELA 54
218461,2,ENTRE RIOS AV. 654
148924,2,CARACAS 66
15560,2,ACASSUSO 6600
219061,2,ENTRE RIOS AV. 552
226118,2,PADILLA 668
423599,2,CORRIENTES AV. 5815
429258,2,"ALVAREZ, JULIAN 2581"
194016,2,ESPARZA 26
346520,2,NAHUEL HUAPI 4801
404712,2,GORRITI 6044
450636,2,SUIPACHA 860
373094,2,CABILDO AV. 2876
218335,2,SOLIS 281
243185,2,LASCANO 2062
100319,2,ALBERTI 1716
205110,2,CORRIENTES AV. 1838
4034,2,CAJARAVILLA 4111
96582,2,"ALBERDI, JUAN BAUTISTA AV. 4348"
108666,2,PICHINCHA 2127
158668,2,HUALFIN 887
110429,2,REGIMIENTO DE PATRICIOS AV. 654
408800,2,ELCANO AV. 3591
170515,2,"PERON, JUAN DOMINGO, TTE. GENERAL 3844"
6591,2,MILTON 462
132602,2,"ALVAREZ, DONATO, Tte. Gral. 767"
106099,2,"IRIARTE, GRAL. AV. 3289"
155721,2,GUAYAQUIL 219
46168,2,"MITRE, EMILIO 1546"
423272,2,THAMES 880
23572,2,"ACOSTA, MARIANO AV. 1145"
288108,2,LOPE DE VEGA AV. 2094
138514,2,"GOYENA, PEDRO AV. 1383"
170623,2,MEDRANO AV. 655
228577,2,"VIALE, LUIS 346"
97466,2,"ALBERDI, JUAN BAUTISTA AV. 6100"
173476,2,SARMIENTO 4623
190158,2,PUEYRREDON AV. 882
405321,2,CIUDAD DE LA PAZ 269
910370,2,ANCASTE 3121
441264,2,PUEYRREDON AV. 1637
173763,2,BOGOTA 7
14127,2,"CASTRO, EMILIO AV. 6208"
144882,2,"FALCON, RAMON L.,CNEL. 2843"
278636,2,NOGOYA 4661
6518,2,LOPE DE VEGA 303
31638,2,BRAGADO 5714
453172,2,ESMERALDA 874
221271,2,"PERON, JUAN DOMINGO, TTE. GENERAL 931"
447902,2,ECUADOR 1278
295980,2,ALVAREZ JONTE 2493
85439,2,AQUINO 5669
254270,2,NAZCA AV. 2398
910982,2,ALMAFUERTE AV. 335
87590,2,CAÑADA DE GOMEZ 801
106547,2,"ALCORTA, AMANCIO AV. 3331"
361293,2,MOSCONI GENERAL AV. 2700
425916,2,SANTA FE AV. 3534
424564,2,"SALGUERO, JERONIMO 1480"
89326,2,MURGUIONDO 4054
306148,2,ALVAREZ JONTE AV. 4212
281978,2,"BEIRO, FRANCISCO AV. 4951"
20632,2,IBARROLA 7130
21364,2,"PAZ, GRAL. AV. 10694"
134850,2,FRAY CAYETANO RODRIGUEZ 397
205215,2,CORDOBA AV. 1850
440251,2,AYACUCHO 1291
287610,2,LOPE DE VEGA AV. 2499
105531,2,ALMAFUERTE AV. 896
411475,2,"LACROZE, FEDERICO AV. 2239"
200814,2,SARANDI 665
111265,2,"IRIGOYEN, BERNARDO de 1518"
303419,2,DORREGO AV. 676
201606,2,ALBERTI 512
234526,2,SAN MARTIN AV. 2820
404478,2,AREVALO 1933
180174,2,SAN JUAN AV. 1838
149851,2,"ARTIGAS, JOSE GERVASIO, GRAL. 133"
424285,2,VIDT 1892
410129,2,AMENABAR 1145
147551,2,"ALBERDI, JUAN BAUTISTA AV. 2859"
232684,2,"OROÑO, NICASIO 2090"
53432,2,VARELA AV. 1259
447881,2,LARREA 1002
192706,2,SARMIENTO 3794
109645,2,CHICLANA AV. 3361
369462,2,NAHUEL HUAPI 4918
179073,2,HIDALGO 559
43985,2,LA PLATA AV. 2745
215328,2,BOLIVAR 184
448477,2,BULNES 1901
367048,2,ROOSEVELT FRANKLIN D. 2489
447320,2,"DIAZ, CNEL. AV. 1921"
351716,2,MONROE 5294
192592,2,"BRAVO, MARIO 18"
250038,2,TERRADA 1602
410573,2,CABILDO AV. 1572
431960,2,"SCALABRINI ORTIZ, RAUL AV. 348"
424837,2,EL SALVADOR 4094
232150,2,"SEGUI, F. J., ALTE. 2117"
376338,2,MONROE 4861
232619,2,SAN MARTIN AV. 2283
120284,2,CABOTO 532
402514,2,HUMBOLDT 2391
2450,2,GAONA AV. 4822
207716,2,VIAMONTE 2660
426622,2,GUEMES 4029
205370,2,AYACUCHO 437
270286,2,SAN MARTIN AV. 6880
118989,2,BRASIL 1283
441200,2,SANTA FE AV. 2429
217109,2,BELGRANO AV. 1279
1922,2,SEGUROLA AV. 207
425677,2,"ALVAREZ, JULIAN 1674"
78609,2,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6381"
325450,2,MOLDES 1901
221649,2,CERRITO 222
104222,2,CASEROS AV. 3317
911765,2,JUJUY AV. 2094
123575,2,"CERRI, DANIEL, Gral. 1448"
142187,2,"ALBERDI, JUAN BAUTISTA AV. 2304"
266250,2,NAZARRE 3298
192790,2,CORRIENTES AV. 3783
7459,2,RIVADAVIA AV. 10543
241372,2,ALVAREZ THOMAS AV. 2400
452419,2,GUIDO 1601
170845,2,MEDRANO AV. 78
451988,2,CORDOBA AV. 1565
307769,2,DEL CAMPO AV. 1452
82896,2,"PERON, EVA AV. 4399"
447753,2,"BRAVO, MARIO 1011"
200266,2,RIVADAVIA AV. 1986
241075,2,DE LOS INCAS AV. 4325
146009,2,"BILBAO, FRANCISCO AV. 3288"
340003,2,CUBA 4181
5425,2,RIVADAVIA AV. 9023
5221,2,RIVADAVIA AV. 8851
177053,2,BOGOTA 809
130571,2,CUCHA CUCHA 998
140710,2,CARABOBO AV. 297
75644,2,BASUALDO 2308
347791,2,TRIUNVIRATO AV. 5487
171400,2,SARMIENTO 4149
148516,2,CURAPALIGUE 317
271449,2,ASUNCION 4187
426589,2,MALABIA 2319
173309,2,CORRIENTES AV. 4530
22417,2,DIRECTORIO AV. 3499
404398,2,HONDURAS 5999
291963,2,"BEIRO, FRANCISCO AV. 5739"
148806,2,CARABOBO AV. 99
145235,2,"ALBERDI, JUAN BAUTISTA AV. 2901"
421082,2,CORDOBA AV. 4451
254135,2,NAZCA AV. 2745
157312,2,"MORENO, JOSE MARIA AV. 525"
424689,2,CORDOBA AV. 3843
349759,2,"LARRALDE, CRISOLOGO AV. 4896"
236586,2,TRES ARROYOS 2210
423732,2,JUSTO
58170,2,PERON
149737,2,DIRECTORIO AV. 3045
192400,2,BILLINGHURST 422
228359,2,"FIGUEROA, D. APOLINARIO, CORONEL 275"
452388,2,LOPEZ
225782,2,SCALABRINI ORTIZ
24338,2,LACARRA 688
451138,2,LIBERTAD 1159
377299,2,SUCRE
417236,2,CIUDAD DE LA PAZ 1389
447810,2,LAS HERAS GENERAL AV. 3014
74337,2,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 947"
452532,2,CALLAO AV. 1043
227855,2,"GANDHI, MAHATMA 299"
400760,2,DORREGO AV. 1201
219191,2,MEXICO 735
